,AccountStatus,Duration,CreditHistory,Purpose,CreditAmount,Savings,EmploymentDuration,InstallmentRatePercent,PersonalStatusAndSex,OtherDebtors,ResidenceDuration,Property,Age,OtherInstallment,Housing,CreditsInThisBank,Job,NumberOfPeopleLiableToMaintenance,Telephone,Foreign,Decision
148,0 DM,36,Has credits in other banks,furnitures,5371,<100 DM,employed from 1 to 4 years,3,male single,guarantor,2,building society savings agreement/life insurance,28,none,own,2,skilled employee/official,1,none,yes,1
149,No account,18,Has credits in other banks,radio/TV,1582,>1000 DM,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",46,none,own,2,skilled employee/official,1,none,yes,1
150,No account,6,Existing credits paid duly till now,radio/TV,1346,100-500 DM,employed 7 years or more,2,male single,none,4,unknown/no property,42,bank,for free,1,skilled employee/official,2,yes,yes,1
151,No account,10,Existing credits paid duly till now,radio/TV,1924,<100 DM,employed from 1 to 4 years,1,male single,none,4,building society savings agreement/life insurance,38,none,own,1,skilled employee/official,1,yes,no,1
152,>=200 DM,36,Existing credits paid duly till now,radio/TV,5848,<100 DM,employed from 1 to 4 years,4,male single,none,1,"car or other, not in attribute 6",24,none,own,1,skilled employee/official,1,none,yes,1
153,<200 DM,24,Has credits in other banks,used car,7758,>1000 DM,employed 7 years or more,2,female divorced/separated/married,none,4,unknown/no property,29,none,rent,1,skilled employee/official,1,none,yes,1
154,<200 DM,24,Delay in paying in past,business,6967,100-500 DM,employed from 4 to 7 years,4,male single,none,4,"car or other, not in attribute 6",36,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
155,0 DM,12,Existing credits paid duly till now,furnitures,1282,<100 DM,employed from 1 to 4 years,2,female divorced/separated/married,none,4,"car or other, not in attribute 6",20,none,rent,1,skilled employee/official,1,none,yes,2
156,0 DM,9,Has credits in other banks,repairs,1288,100-500 DM,employed 7 years or more,3,male single,guarantor,4,real estate,48,none,own,2,skilled employee/official,2,none,no,1
157,0 DM,12,All credits paid duly,retraining,339,<100 DM,employed 7 years or more,4,male married/widowed,none,1,"car or other, not in attribute 6",45,bank,own,1,unskilled - resident,1,none,yes,1
158,<200 DM,24,Existing credits paid duly till now,new car,3512,100-500 DM,employed from 4 to 7 years,2,male single,none,3,"car or other, not in attribute 6",38,bank,own,2,skilled employee/official,1,yes,yes,1
159,No account,6,Has credits in other banks,radio/TV,1898,Unknown/No savings,employed from 1 to 4 years,1,male single,none,2,real estate,34,none,own,2,unskilled - resident,2,none,yes,1
160,No account,24,Has credits in other banks,radio/TV,2872,100-500 DM,employed 7 years or more,3,male single,none,4,real estate,36,none,own,1,skilled employee/official,2,yes,yes,1
161,No account,18,Has credits in other banks,new car,1055,<100 DM,employed under 1 year,4,female divorced/separated/married,none,1,building society savings agreement/life insurance,30,none,own,2,skilled employee/official,1,none,yes,1
162,No account,15,Existing credits paid duly till now,household appliances,1262,500-1000 DM,employed from 4 to 7 years,4,male single,none,3,building society savings agreement/life insurance,36,none,own,2,skilled employee/official,1,yes,yes,1
163,<200 DM,10,Existing credits paid duly till now,new car,7308,<100 DM,unemployed,2,male single,none,4,unknown/no property,70,bank,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1
164,No account,36,Existing credits paid duly till now,new car,909,500-1000 DM,employed 7 years or more,4,male single,none,4,building society savings agreement/life insurance,36,none,own,1,skilled employee/official,1,none,yes,1
165,No account,6,Existing credits paid duly till now,furnitures,2978,500-1000 DM,employed from 1 to 4 years,1,male single,none,2,"car or other, not in attribute 6",32,none,own,1,skilled employee/official,1,yes,yes,1
166,0 DM,18,Existing credits paid duly till now,furnitures,1131,<100 DM,unemployed,4,female divorced/separated/married,none,2,"car or other, not in attribute 6",33,none,own,1,skilled employee/official,1,none,yes,2
167,<200 DM,11,Existing credits paid duly till now,furnitures,1577,>1000 DM,employed under 1 year,4,female divorced/separated/married,none,1,real estate,20,none,own,1,skilled employee/official,1,none,yes,1
168,No account,24,Existing credits paid duly till now,furnitures,3972,<100 DM,employed from 4 to 7 years,2,female divorced/separated/married,none,4,building society savings agreement/life insurance,25,none,rent,1,skilled employee/official,1,yes,yes,1
169,<200 DM,24,Has credits in other banks,business,1935,<100 DM,employed 7 years or more,4,male divorced/separated,none,4,real estate,31,none,own,2,skilled employee/official,1,yes,yes,2
170,0 DM,15,No credits taken,new car,950,<100 DM,employed 7 years or more,4,male single,none,3,"car or other, not in attribute 6",33,none,rent,2,skilled employee/official,2,none,yes,2
171,No account,12,Existing credits paid duly till now,furnitures,763,<100 DM,employed from 1 to 4 years,4,female divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee/official,1,yes,yes,1
172,<200 DM,24,Delay in paying in past,furnitures,2064,<100 DM,unemployed,3,female divorced/separated/married,none,2,building society savings agreement/life insurance,34,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
173,<200 DM,8,Existing credits paid duly till now,radio/TV,1414,<100 DM,employed from 1 to 4 years,4,male single,guarantor,2,real estate,33,none,own,1,skilled employee/official,1,none,no,1
174,0 DM,21,Delay in paying in past,education,3414,<100 DM,employed under 1 year,2,male single,none,1,building society savings agreement/life insurance,26,none,own,2,skilled employee/official,1,none,yes,2
175,No account,30,All credits paid duly,used car,7485,Unknown/No savings,unemployed,4,female divorced/separated/married,none,1,real estate,53,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
176,0 DM,12,Existing credits paid duly till now,furnitures,2577,<100 DM,employed from 1 to 4 years,2,male divorced/separated,none,1,"car or other, not in attribute 6",42,none,own,1,skilled employee/official,1,none,yes,1
177,0 DM,6,Has credits in other banks,radio/TV,338,500-1000 DM,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",52,none,own,2,skilled employee/official,1,none,yes,1
178,No account,12,Existing credits paid duly till now,radio/TV,1963,<100 DM,employed from 4 to 7 years,4,male single,none,2,"car or other, not in attribute 6",31,none,rent,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1
179,0 DM,21,Has credits in other banks,new car,571,<100 DM,employed 7 years or more,4,male single,none,4,real estate,65,none,own,2,skilled employee/official,1,none,yes,1
180,No account,36,Delay in paying in past,business,9572,<100 DM,employed under 1 year,1,male divorced/separated,none,1,"car or other, not in attribute 6",28,none,own,2,skilled employee/official,1,none,yes,2
181,<200 DM,36,Delay in paying in past,business,4455,<100 DM,employed from 1 to 4 years,2,male divorced/separated,none,2,real estate,30,stores,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,2
182,0 DM,21,All credits paid duly,new car,1647,Unknown/No savings,employed from 1 to 4 years,4,male single,none,2,building society savings agreement/life insurance,40,none,own,2,unskilled - resident,2,none,yes,2
183,No account,24,Has credits in other banks,furnitures,3777,>1000 DM,employed from 1 to 4 years,4,male single,none,4,real estate,50,none,own,1,skilled employee/official,1,yes,yes,1
184,<200 DM,18,Has credits in other banks,new car,884,<100 DM,employed 7 years or more,4,male single,none,4,"car or other, not in attribute 6",36,bank,own,1,skilled employee/official,2,yes,yes,2
185,No account,15,Has credits in other banks,radio/TV,1360,<100 DM,employed from 1 to 4 years,4,male single,none,2,building society savings agreement/life insurance,31,none,own,2,skilled employee/official,1,none,yes,1
186,<200 DM,9,All credits paid duly,used car,5129,<100 DM,employed 7 years or more,2,female divorced/separated/married,none,4,unknown/no property,74,bank,for free,1,management/self-employed/highly qualified employee/officer,2,yes,yes,2
187,<200 DM,16,Has credits in other banks,new car,1175,<100 DM,unemployed,2,male single,none,3,"car or other, not in attribute 6",68,none,for free,3,unemployed/unskilled - non-resident,1,yes,yes,1
188,0 DM,12,Existing credits paid duly till now,radio/TV,674,100-500 DM,employed from 4 to 7 years,4,male married/widowed,none,1,building society savings agreement/life insurance,20,none,own,1,skilled employee/official,1,none,yes,2
189,<200 DM,18,No credits taken,furnitures,3244,<100 DM,employed from 1 to 4 years,1,female divorced/separated/married,none,4,"car or other, not in attribute 6",33,bank,own,2,skilled employee/official,1,yes,yes,1
190,No account,24,Existing credits paid duly till now,business,4591,>1000 DM,employed from 1 to 4 years,2,male single,none,3,building society savings agreement/life insurance,54,none,own,3,management/self-employed/highly qualified employee/officer,1,yes,yes,2
191,<200 DM,48,No credits taken,business,3844,100-500 DM,employed from 4 to 7 years,4,male single,none,4,unknown/no property,34,none,for free,1,unskilled - resident,2,none,yes,2
192,<200 DM,27,Existing credits paid duly till now,business,3915,<100 DM,employed from 1 to 4 years,4,male single,none,2,"car or other, not in attribute 6",36,none,own,1,skilled employee/official,2,yes,yes,2
193,No account,6,Existing credits paid duly till now,radio/TV,2108,<100 DM,employed from 4 to 7 years,2,male married/widowed,none,2,real estate,29,none,rent,1,skilled employee/official,1,none,yes,1
194,<200 DM,45,Existing credits paid duly till now,radio/TV,3031,100-500 DM,employed from 1 to 4 years,4,male single,guarantor,4,building society savings agreement/life insurance,21,none,rent,1,skilled employee/official,1,none,yes,2
195,<200 DM,9,Has credits in other banks,education,1501,<100 DM,employed 7 years or more,2,female divorced/separated/married,none,3,"car or other, not in attribute 6",34,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,2
196,No account,6,Has credits in other banks,radio/TV,1382,<100 DM,employed from 1 to 4 years,1,female divorced/separated/married,none,1,"car or other, not in attribute 6",28,none,own,2,skilled employee/official,1,yes,yes,1
197,<200 DM,12,Existing credits paid duly till now,furnitures,951,100-500 DM,employed under 1 year,4,female divorced/separated/married,none,4,"car or other, not in attribute 6",27,bank,rent,4,skilled employee/official,1,none,yes,2
198,<200 DM,24,Existing credits paid duly till now,used car,2760,Unknown/No savings,employed 7 years or more,4,male single,none,4,unknown/no property,36,bank,for free,1,skilled employee/official,1,yes,yes,1
199,<200 DM,18,Delay in paying in past,furnitures,4297,<100 DM,employed 7 years or more,4,male divorced/separated,none,3,unknown/no property,40,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,2
200,No account,9,Has credits in other banks,education,936,500-1000 DM,employed 7 years or more,4,male single,none,2,"car or other, not in attribute 6",52,none,own,2,skilled employee/official,1,yes,yes,1
201,0 DM,12,Existing credits paid duly till now,new car,1168,<100 DM,employed from 1 to 4 years,4,male married/widowed,none,3,real estate,27,none,own,1,unskilled - resident,1,none,yes,1
202,No account,27,Delay in paying in past,business,5117,<100 DM,employed from 4 to 7 years,3,male single,none,4,"car or other, not in attribute 6",26,none,own,2,skilled employee/official,1,none,yes,1
203,0 DM,12,Existing credits paid duly till now,retraining,902,<100 DM,employed from 4 to 7 years,4,male married/widowed,none,4,building society savings agreement/life insurance,21,none,rent,1,skilled employee/official,1,none,yes,2
204,No account,12,Has credits in other banks,new car,1495,<100 DM,employed 7 years or more,4,male single,none,1,real estate,38,none,own,2,unskilled - resident,2,none,yes,1
205,0 DM,30,Has credits in other banks,used car,10623,<100 DM,employed 7 years or more,3,male single,none,4,unknown/no property,38,none,for free,3,management/self-employed/highly qualified employee/officer,2,yes,yes,1
206,No account,12,Has credits in other banks,furnitures,1935,<100 DM,employed 7 years or more,4,male single,none,4,real estate,43,none,own,3,skilled employee/official,1,yes,yes,1
207,<200 DM,12,Has credits in other banks,household appliances,1424,<100 DM,employed from 4 to 7 years,4,male single,none,3,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,none,yes,1
208,0 DM,24,Existing credits paid duly till now,business,6568,<100 DM,employed from 1 to 4 years,2,male married/widowed,none,2,"car or other, not in attribute 6",21,stores,own,1,unskilled - resident,1,none,yes,1
209,No account,12,Existing credits paid duly till now,used car,1413,>1000 DM,employed from 4 to 7 years,3,male single,none,2,building society savings agreement/life insurance,55,none,own,1,skilled employee/official,1,none,no,1
210,No account,9,Has credits in other banks,radio/TV,3074,Unknown/No savings,employed from 1 to 4 years,1,male single,none,2,real estate,33,none,own,2,skilled employee/official,2,none,yes,1
211,No account,36,Existing credits paid duly till now,radio/TV,3835,Unknown/No savings,employed 7 years or more,2,female divorced/separated/married,none,4,real estate,45,none,own,1,unskilled - resident,1,yes,yes,1
